container,type,operation,loop_num,time(us)
std::forward_list,i,push_front/pop_front,1000,137
std::forward_list,i,push_back/pop_back,1000,22
std::forward_list,i,push_back/erase,1000,52
std::forward_list,d,push_front/pop_front,1000,95
std::forward_list,d,push_back/pop_back,1000,23
std::forward_list,d,push_back/erase,1000,37
std::forward_list,St6vectorIiSaIiEE,push_front/pop_front,1000,203
std::forward_list,St6vectorIiSaIiEE,push_back/pop_back,1000,89
std::forward_list,St6vectorIiSaIiEE,push_back/erase,1000,50
std::vector,i,push_front/pop_front,1000,22
std::vector,i,push_back/pop_back,1000,16
std::vector,i,push_back/erase,1000,9
std::vector,d,push_front/pop_front,1000,27
std::vector,d,push_back/pop_back,1000,11
std::vector,d,push_back/erase,1000,6
std::vector,St6vectorIiSaIiEE,push_front/pop_front,1000,228
std::vector,St6vectorIiSaIiEE,push_back/pop_back,1000,83
std::vector,St6vectorIiSaIiEE,push_back/erase,1000,41
std::list,i,push_front/pop_front,1000,114
std::list,i,push_back/pop_back,1000,22
std::list,i,push_back/erase,1000,69
std::list,d,push_front/pop_front,1000,111
std::list,d,push_back/pop_back,1000,23
std::list,d,push_back/erase,1000,49
std::list,St6vectorIiSaIiEE,push_front/pop_front,1000,194
std::list,St6vectorIiSaIiEE,push_back/pop_back,1000,121
std::list,St6vectorIiSaIiEE,push_back/erase,1000,119
std::forward_list,i,push_front/pop_front,10000,1277
std::forward_list,i,push_back/pop_back,10000,219
std::forward_list,i,push_back/erase,10000,377
std::forward_list,d,push_front/pop_front,10000,680
std::forward_list,d,push_back/pop_back,10000,187
std::forward_list,d,push_back/erase,10000,439
std::forward_list,St6vectorIiSaIiEE,push_front/pop_front,10000,2188
std::forward_list,St6vectorIiSaIiEE,push_back/pop_back,10000,910
std::forward_list,St6vectorIiSaIiEE,push_back/erase,10000,480
std::vector,i,push_front/pop_front,10000,213
std::vector,i,push_back/pop_back,10000,101
std::vector,i,push_back/erase,10000,79
std::vector,d,push_front/pop_front,10000,174
std::vector,d,push_back/pop_back,10000,102
std::vector,d,push_back/erase,10000,63
std::vector,St6vectorIiSaIiEE,push_front/pop_front,10000,2528
std::vector,St6vectorIiSaIiEE,push_back/pop_back,10000,977
std::vector,St6vectorIiSaIiEE,push_back/erase,10000,314
std::list,i,push_front/pop_front,10000,751
std::list,i,push_back/pop_back,10000,242
std::list,i,push_back/erase,10000,555
std::list,d,push_front/pop_front,10000,702
std::list,d,push_back/pop_back,10000,209
std::list,d,push_back/erase,10000,525
std::list,St6vectorIiSaIiEE,push_front/pop_front,10000,1873
std::list,St6vectorIiSaIiEE,push_back/pop_back,10000,839
std::list,St6vectorIiSaIiEE,push_back/erase,10000,789
std::forward_list,i,push_front/pop_front,100000,7484
std::forward_list,i,push_back/pop_back,100000,1883
std::forward_list,i,push_back/erase,100000,3852
std::forward_list,d,push_front/pop_front,100000,5920
std::forward_list,d,push_back/pop_back,100000,1994
std::forward_list,d,push_back/erase,100000,4995
std::forward_list,St6vectorIiSaIiEE,push_front/pop_front,100000,24573
std::forward_list,St6vectorIiSaIiEE,push_back/pop_back,100000,10962
std::forward_list,St6vectorIiSaIiEE,push_back/erase,100000,6801
std::vector,i,push_front/pop_front,100000,3983
std::vector,i,push_back/pop_back,100000,1830
std::vector,i,push_back/erase,100000,766
std::vector,d,push_front/pop_front,100000,1658
std::vector,d,push_back/pop_back,100000,1378
std::vector,d,push_back/erase,100000,693
std::vector,St6vectorIiSaIiEE,push_front/pop_front,100000,23538
std::vector,St6vectorIiSaIiEE,push_back/pop_back,100000,8679
std::vector,St6vectorIiSaIiEE,push_back/erase,100000,3367
std::list,i,push_front/pop_front,100000,6301
std::list,i,push_back/pop_back,100000,1621
std::list,i,push_back/erase,100000,6922
std::list,d,push_front/pop_front,100000,6502
std::list,d,push_back/pop_back,100000,2276
std::list,d,push_back/erase,100000,5556
std::list,St6vectorIiSaIiEE,push_front/pop_front,100000,19468
std::list,St6vectorIiSaIiEE,push_back/pop_back,100000,9194
std::list,St6vectorIiSaIiEE,push_back/erase,100000,10223
std::forward_list,i,push_front/pop_front,1000000,78429
std::forward_list,i,push_back/pop_back,1000000,17488
std::forward_list,i,push_back/erase,1000000,40547
std::forward_list,d,push_front/pop_front,1000000,67610
std::forward_list,d,push_back/pop_back,1000000,25623
std::forward_list,d,push_back/erase,1000000,54167
std::forward_list,St6vectorIiSaIiEE,push_front/pop_front,1000000,204663
std::forward_list,St6vectorIiSaIiEE,push_back/pop_back,1000000,84238
std::forward_list,St6vectorIiSaIiEE,push_back/erase,1000000,49499
std::vector,i,push_front/pop_front,1000000,35180
std::vector,i,push_back/pop_back,1000000,10924
std::vector,i,push_back/erase,1000000,6588
std::vector,d,push_front/pop_front,1000000,15555
std::vector,d,push_back/pop_back,1000000,11066
std::vector,d,push_back/erase,1000000,7446
std::vector,St6vectorIiSaIiEE,push_front/pop_front,1000000,189668
std::vector,St6vectorIiSaIiEE,push_back/pop_back,1000000,81098
std::vector,St6vectorIiSaIiEE,push_back/erase,1000000,30201
std::list,i,push_front/pop_front,1000000,61853
std::list,i,push_back/pop_back,1000000,16114
std::list,i,push_back/erase,1000000,47183
std::list,d,push_front/pop_front,1000000,60205
std::list,d,push_back/pop_back,1000000,16716
std::list,d,push_back/erase,1000000,48430
std::list,St6vectorIiSaIiEE,push_front/pop_front,1000000,175911
std::list,St6vectorIiSaIiEE,push_back/pop_back,1000000,88028
std::list,St6vectorIiSaIiEE,push_back/erase,1000000,69823
